ID,C1,C2,C3,C4,C5,C6,C7,C8,Score,Rank
IDN-A-005IHO,180000,81,3,2,2,3,2,3,0.616358024691358,76
IDN-A-006A51,180000,81,3,2,2,3,2,3,0.616358024691358,77
IDN-A-006A54,180000,81,3,2,2,3,2,3,0.616358024691358,78
IDN-A-00CT2Z,180000,81,3,2,2,3,2,3,0.616358024691358,79
IDN-A-00CT29,180000,83,3,2,2,3,2,3,0.6157630522088353,80
IDN-A-002K36,180000,83,3,2,2,3,2,3,0.6157630522088353,81
IDN-A-006A4X,180000,91,3,2,2,3,2,3,0.6136446886446887,82
IDN-A-006A4R,180000,91,3,2,2,3,2,3,0.6136446886446887,83
IDN-A-00CT31,180000,91,3,2,2,3,2,3,0.6136446886446887,84
IDN-A-002MSB,180000,93,3,2,2,3,2,3,0.6131720430107527,85
IDN-A-00CT2Q,180000,93,3,2,2,3,2,3,0.6131720430107527,86
IDN-A-00CT37,180000,93,3,2,2,3,2,3,0.6131720430107527,87
IDN-A-00GIKI,180000,93,3,2,2,3,2,3,0.6131720430107527,88
IDN-A-00GIKI,180000,93,3,2,2,3,2,3,0.6131720430107527,89
IDN-A-006A4T,180000,94,3,2,2,3,2,3,0.6129432624113476,90
IDN-A-00CXD6,180000,94,3,2,2,3,2,3,0.6129432624113476,91
IDN-A-00CXD8,180000,94,3,2,2,3,2,3,0.6129432624113476,92
IDN-A-00CXD1,180000,94,3,2,2,3,2,3,0.6129432624113476,93
IDN-A-00CXCZ,180000,94,3,2,2,3,2,3,0.6129432624113476,94
IDN-A-005F9M,180000,94,3,2,2,3,2,3,0.6129432624113476,95
IDN-A-006A55,180000,94,3,2,2,3,2,3,0.6129432624113476,96
IDN-A-006A2,180000,94,3,2,2,3,2,3,0.6129432624113476,97
IDN-A-006A53,180000,94,3,2,2,3,2,3,0.6129432624113476,98
IDN-A-00CXCW,180000,94,3,2,2,3,2,3,0.6129432624113476,99
IDN-A-006A4E,180000,97,3,2,2,3,2,3,0.6122852233676976,100
IDN-A-00CT28,180000,99,3,2,2,3,2,3,0.6118686868686869,101
IDN-A-00CT30,180000,104,3,2,2,3,2,3,0.610897435897436,102
IDN-A-002LZG,180000,178,3,2,2,3,2,3,0.6029026217228464,103
IDN-A-00EOKH,180000,179,3,2,2,3,2,3,0.6028398510242086,104
IDN-A-00CT2V,180000,186,3,2,2,3,2,3,0.6024193548387097,105
IDN-A-00CMBQ,180000,187,3,2,2,3,2,3,0.602361853832442,106
IDN-A-00CT2Y,180000,190,3,2,2,3,2,3,0.6021929824561403,107
IDN-A-005F9O,180000,194,3,2,2,3,2,3,0.6019759450171821,108
IDN-A-006A56,180000,194,3,2,2,3,2,3,0.6019759450171821,109
IDN-A-00CXDA,180000,195,3,2,2,3,2,3,0.6019230769230769,110
IDN-A-006A4G,180000,195,3,2,2,3,2,3,0.6019230769230769,111
IDN-A-002LZF,180000,195,3,2,2,3,2,3,0.6019230769230769,112
IDN-A-00CXD2,180000,195,3,2,2,3,2,3,0.6019230769230769,113
IDN-A-002PHH,180000,195,3,2,2,3,2,3,0.6019230769230769,114
IDN-A-00573M,180000,198,3,2,2,3,2,3,0.6017676767676767,115
IDN-A-002K37,180000,199,3,2,2,3,2,3,0.601716917922948,116
IDN-A-002KTV,180000,202,3,2,2,3,2,3,0.6015676567656766,117
IDN-A-00CXD3,180000,203,3,2,2,3,2,3,0.6015188834154351,118
IDN-A-003ARA,180000,203,3,2,2,3,2,3,0.6015188834154351,119
IDN-A-006A4K,180000,204,3,2,2,3,2,3,0.6014705882352941,120
IDN-A-00CXCY,180000,204,3,2,2,3,2,3,0.6014705882352941,121
IDN-A-002OO5,180000,204,3,2,2,3,2,3,0.6014705882352941,122
IDN-A-00CXCV,180000,207,3,2,2,3,2,3,0.6013285024154589,123
IDN-A-006A4W,180000,208,3,2,2,3,2,3,0.6012820512820513,124
IDN-A-006A52,180000,213,3,2,2,3,2,3,0.601056338028169,125
IDN-A-00CXCX,180000,214,3,2,2,3,2,3,0.60101246105919,126
IDN-A-003WLT,180000,214,3,2,2,3,2,3,0.60101246105919,127
IDN-A-002OO8,180000,219,3,2,2,3,2,3,0.6007990867579909,128
IDN-A-00GIKO,180000,219,3,2,2,3,2,3,0.6007990867579909,129
IDN-A-00GIKO,180000,219,3,2,2,3,2,3,0.6007990867579909,130
IDN-A-00EOLH,180000,261,3,2,2,3,2,3,0.5993295019157088,131
IDN-A-00GIKK,180000,299,3,2,2,3,2,3,0.598355629877369,132
IDN-A-00EQA0,275000,664,3,4,4,4,3,1,0.5977090178897408,133
IDN-A-00GIKJ,180000,464,3,2,2,3,2,3,0.5959770114942529,134
IDN-A-00GIKJ,180000,464,3,2,2,3,2,3,0.5959770114942529,135
IDN-A-003EHE,325000,133,3,4,4,4,3,1,0.5887555427029112,136
IDN-A-00DJB3,275000,270,3,4,4,3,3,1,0.5771043771043771,137
IDN-A-00CT2B,270000,48,3,2,2,3,2,3,0.5638888888888889,138
IDN-A-00CT2A,270000,72,3,2,2,3,2,3,0.55,139
IDN-A-005F99,270000,93,3,2,2,3,2,3,0.5437275985663083,140
IDN-A-003AQZ,270000,97,3,2,2,3,2,3,0.5428407789232531,141
IDN-A-00GIKN,270000,100,3,2,2,3,2,3,0.5422222222222222,142
IDN-A-00GIKN,270000,100,3,2,2,3,2,3,0.5422222222222222,143
IDN-A-00FVHZ,270000,116,3,2,2,3,2,3,0.539463601532567,144
IDN-A-00FVHZ,270000,116,3,2,2,3,2,3,0.539463601532567,145
IDN-A-00CT32,270000,168,3,2,2,3,2,3,0.5341269841269841,146
IDN-A-006A4L,270000,173,3,2,2,3,2,3,0.5337829158638407,147
IDN-A-005F9G,270000,197,3,2,2,3,2,3,0.5323745064861816,148
IDN-A-005F9L,270000,209,3,2,2,3,2,3,0.5317916002126528,149
IDN-A-003WLN,270000,376,3,2,2,3,2,3,0.5275413711583924,150
IDN-A-00EOKS,275000,267,3,2,2,3,2,3,0.5271876064010895,151
IDN-A-00CXDC,350000,224,4,2,2,3,2,3,0.5244047619047618,152
IDN-A-00EOKF,365000,228,4,2,2,3,2,3,0.519844989185292,153
IDN-A-003WLX,350000,74,3,2,2,3,2,3,0.5175032175032175,154
IDN-A-003WLW,350000,86,3,2,2,3,2,3,0.5137320044296788,155
IDN-A-00FVHY,365000,91,3,2,2,3,2,3,0.5080510813387525,156
IDN-A-00FVHY,365000,91,3,2,2,3,2,3,0.5080510813387525,157
IDN-A-00CT2S,365000,93,3,2,2,3,2,3,0.5075784357048165,158
IDN-A-002MS5,365000,97,3,2,2,3,2,3,0.5066916160617615,159
IDN-A-005F9P,350000,205,3,2,2,3,2,3,0.500232288037166,160
IDN-A-003WLY,350000,243,3,2,2,3,2,3,0.4987066431510876,161
IDN-A-00FVI0,365000,168,3,2,2,3,2,3,0.49797782126549245,162
IDN-A-00FVI0,365000,168,3,2,2,3,2,3,0.49797782126549245,163
IDN-A-00CT33,350000,390,3,2,2,3,2,3,0.49560439560439556,164
IDN-A-00CXD4,365000,268,3,2,2,3,2,3,0.49353574592789473,165
IDN-A-00CT2F,365000,272,3,2,2,3,2,3,0.49342600053720115,166
IDN-A-006A4U,350000,1273,3,2,2,3,2,3,0.4920472823850671,167
IDN-A-00EOKE,365000,396,3,2,2,3,2,3,0.4911235644112356,168
IDN-A-00CT2C,365000,855,3,2,2,3,2,3,0.4884122406472803,169
IDN-A-00CT2E,365000,1293,3,2,2,3,2,3,0.48761984977063,170
