ID,C1,C2,C3,C4,C5,C6,C7,C8
IDN-A-00CT28,180000,99,3,2,2,3,2,3
IDN-A-00GIKN,270000,100,3,2,2,3,2,3
IDN-A-00GIKN,270000,100,3,2,2,3,2,3
IDN-A-00CT30,180000,104,3,2,2,3,2,3
IDN-A-00FVHZ,270000,116,3,2,2,3,2,3
IDN-A-00FVHZ,270000,116,3,2,2,3,2,3
IDN-A-00CT32,270000,168,3,2,2,3,2,3
IDN-A-00FVI0,365000,168,3,2,2,3,2,3
IDN-A-00FVI0,365000,168,3,2,2,3,2,3
IDN-A-006A4L,270000,173,3,2,2,3,2,3
IDN-A-002LZG,180000,178,3,2,2,3,2,3
IDN-A-00EOKH,180000,179,3,2,2,3,2,3
IDN-A-00CT2V,180000,186,3,2,2,3,2,3
IDN-A-00CMBQ,180000,187,3,2,2,3,2,3
IDN-A-00CT2Y,180000,190,3,2,2,3,2,3
IDN-A-006A56,180000,194,3,2,2,3,2,3
IDN-A-005F9O,180000,194,3,2,2,3,2,3
IDN-A-002PHH,180000,195,3,2,2,3,2,3
IDN-A-00CXD2,180000,195,3,2,2,3,2,3
IDN-A-002LZF,180000,195,3,2,2,3,2,3
IDN-A-006A4G,180000,195,3,2,2,3,2,3
IDN-A-00CXDA,180000,195,3,2,2,3,2,3
IDN-A-005F9G,270000,197,3,2,2,3,2,3
IDN-A-00573M,180000,198,3,2,2,3,2,3
IDN-A-002K37,180000,199,3,2,2,3,2,3
IDN-A-002KTV,180000,202,3,2,2,3,2,3
IDN-A-00CXD3,180000,203,3,2,2,3,2,3
IDN-A-003ARA,180000,203,3,2,2,3,2,3
IDN-A-006A4K,180000,204,3,2,2,3,2,3
IDN-A-002OO5,180000,204,3,2,2,3,2,3
IDN-A-00CXCY,180000,204,3,2,2,3,2,3
IDN-A-005F9P,350000,205,3,2,2,3,2,3
IDN-A-00CXCV,180000,207,3,2,2,3,2,3
IDN-A-006A4W,180000,208,3,2,2,3,2,3
IDN-A-005F9L,270000,209,3,2,2,3,2,3
IDN-A-00CXCX,180000,214,3,2,2,3,2,3
IDN-A-003WLT,180000,214,3,2,2,3,2,3
IDN-A-006A52,180000,213,3,2,2,3,2,3
IDN-A-002OO8,180000,219,3,2,2,3,2,3
IDN-A-00GIKO,180000,219,3,2,2,3,2,3
IDN-A-00GIKO,180000,219,3,2,2,3,2,3
IDN-A-00CXDC,350000,224,4,2,2,3,2,3
IDN-A-00EOKF,365000,228,4,2,2,3,2,3
IDN-A-003WLY,350000,243,3,2,2,3,2,3
IDN-A-00EOLH,180000,261,3,2,2,3,2,3
IDN-A-00EOKS,275000,267,3,2,2,3,2,3
IDN-A-00CXD4,365000,268,3,2,2,3,2,3
IDN-A-00CT2F,365000,272,3,2,2,3,2,3
IDN-A-00GIKK,180000,299,3,2,2,3,2,3
IDN-A-003WLN,270000,376,3,2,2,3,2,3
IDN-A-00CT33,350000,390,3,2,2,3,2,3
IDN-A-00EOKE,365000,396,3,2,2,3,2,3
IDN-A-00GIKJ,180000,464,3,2,2,3,2,3
IDN-A-00GIKJ,180000,464,3,2,2,3,2,3
IDN-A-00CT2C,365000,855,3,2,2,3,2,3
IDN-A-006A4U,350000,1273,3,2,2,3,2,3
IDN-A-00CT2E,365000,1293,3,2,2,3,2,3
IDN-A-00DGNS,220000,128,4,4,3,4,3,1
IDN-A-00DGNR,250000,128,4,4,4,4,3,1
IDN-A-00DY10,220000,133,4,4,4,4,3,1
IDN-A-003EHE,325000,133,3,4,4,4,3,1
IDN-A-00CPFT,275000,270,4,4,4,4,3,1
IDN-A-00DJB3,275000,270,3,4,4,3,3,1
IDN-A-00CPFQ,250000,394,4,4,4,4,3,1
IDN-A-00EQA2,275000,540,4,4,4,4,3,1
IDN-A-00EQA0,275000,664,3,4,4,4,3,1
